dataset,variant,status,invalid_reasons,warnings,model_type,target_type,num_classes,metapath_blocks,path_lad_blocks,compiled_blocks,teacher_type,teacher_train_acc,teacher_val_acc,teacher_predicted_class_count,use_kd,kd_lambda,temperature,predicted_class_count,block_norm_stats_source,ratio_mode,requested_ratio,requested_full_condensed_node_ratio,total_condensed_node_ratio,accuracy,macro_f1,source_log,block_dims,ce_loss,feature_blocks,kd_loss,path_lad_hub_clip_thresholds,path_lad_leave_one_out_for_train,path_lad_row_normalize,path_lad_uses_train_labels_only,prototype_mode
acm,S0_current_best,completed,[],[],relation_linear,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],[],none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.012,,0.005026503381465911,0.6496695280075073,0.6117899715900421,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p012_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",,,True,,True,kmeans_mean
acm,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.012,,0.005026503381465911,,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p012_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,kmeans_mean
acm,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.012,,0.0049351124108938035,0.580736517906189,0.5811920464038849,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p012_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,coverage_medoid
acm,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.012,,0.0049351124108938035,,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p012_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",sehgnn_lite,,,,True,0.5,2.0,3,train_full_demand_table,target_only,0.012,,0.0049351124108938035,,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p012_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S0_current_best,completed,[],[],relation_linear,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],[],none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.024,,0.0071284957046243835,0.698300302028656,0.6789692342281342,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p024_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",,,True,,True,kmeans_mean
acm,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.024,,0.0071284957046243835,,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p024_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,kmeans_mean
acm,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.024,,0.007402668616340705,0.6090651750564575,0.5882640480995178,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p024_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,coverage_medoid
acm,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.024,,0.007402668616340705,,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p024_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",sehgnn_lite,,,,True,0.5,2.0,3,train_full_demand_table,target_only,0.024,,0.007402668616340705,,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p024_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
