dataset,ratio,recovery_row,status,promoted,fullgraph_accuracy,accuracy,macro_f1,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,num_prototypes,selected_blocks,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,reason
dblp,0.005,identity_condensed_sft_replay,completed_diagnostic,False,0.9408450722694397,0.9408450722694397,0.9362275302410126,0.0,,,0.0,5,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,identity replay of full SFT block signature
dblp,0.005,prototype_oracle_sft_block_signature,completed_diagnostic,False,0.9408450722694397,0.736267626285553,0.7273984551429749,0.0,0.20457744598388672,,0.20457744598388672,5,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,prototype SFT trained with full-train fitted block stats
dblp,0.005,shadow_condensed_sft_block_signature,completed_diagnostic,False,0.9408450722694397,0.38415491580963135,0.28244587033987045,0.0,0.20457744598388672,0.35211271047592163,0.5566901564598083,5,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,nearest signed shadow reconstruction over SFT block signatures
dblp,0.01,identity_condensed_sft_replay,completed_diagnostic,False,0.9408450722694397,0.9408450722694397,0.9362275302410126,0.0,,,0.0,10,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,identity replay of full SFT block signature
dblp,0.01,prototype_oracle_sft_block_signature,completed_diagnostic,False,0.9408450722694397,0.8436619639396667,0.8352702558040619,0.0,0.09718310832977295,,0.09718310832977295,10,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,prototype SFT trained with full-train fitted block stats
dblp,0.01,shadow_condensed_sft_block_signature,completed_diagnostic,False,0.9408450722694397,0.8732394576072693,0.8654383271932602,0.0,0.09718310832977295,-0.02957749366760254,0.06760561466217041,10,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,nearest signed shadow reconstruction over SFT block signatures
dblp,0.025,identity_condensed_sft_replay,completed_diagnostic,False,0.9408450722694397,0.9408450722694397,0.9362275302410126,0.0,,,0.0,24,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,identity replay of full SFT block signature
dblp,0.025,prototype_oracle_sft_block_signature,completed_diagnostic,False,0.9408450722694397,0.8021126985549927,0.7938031703233719,0.0,0.13873237371444702,,0.13873237371444702,24,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,prototype SFT trained with full-train fitted block stats
dblp,0.025,shadow_condensed_sft_block_signature,promoted,True,0.9408450722694397,0.9169014096260071,0.9107873737812042,0.0,0.13873237371444702,-0.1147887110710144,0.023943662643432617,24,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,nearest signed shadow reconstruction over SFT block signatures
dblp,0.05,identity_condensed_sft_replay,completed_diagnostic,False,0.9408450722694397,0.9408450722694397,0.9362275302410126,0.0,,,0.0,49,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,identity replay of full SFT block signature
dblp,0.05,prototype_oracle_sft_block_signature,completed_diagnostic,True,0.9408450722694397,0.9232394099235535,0.9181554019451141,0.0,0.01760566234588623,,0.01760566234588623,49,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,prototype SFT trained with full-train fitted block stats
dblp,0.05,shadow_condensed_sft_block_signature,promoted,True,0.9408450722694397,0.924647867679596,0.920296385884285,0.0,0.01760566234588623,-0.0014084577560424805,0.01619720458984375,49,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",False,False,False,False,False,False,nearest signed shadow reconstruction over SFT block signatures
